"pmcid";"pmid";"doi";"file_path_PMC";"pdf_file_path_PMC";"year";"type";"ISSN";"eISSN";"FoR_col";"FoR";"FoR_category";"approp";"bar";"bardot";"box";"dot";"flowno";"flowyes";"hist";"other";"pie";"text";"violin";"pdf_downloaded"
"PMC7183084";"32138183";"10.3390/sports8030028";"oa_package/8b/b5/PMC7183084.tar.gz";NA;"2020";"research-article";NA;"2075-4663";"FoR_1";"1106";"1106 - Human Movement and Sports Science";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"6";"0";TRUE
"PMC3854790";"24339785";"10.1371/journal.pgen.1003960";"oa_package/45/61/PMC3854790.tar.gz";NA;"2013";"research-article";"1553-7390";"1553-7404";"FoR_1";"0604";"0604 - Genetics";"0";"1";"2";"3";"1";"1";"0";"0";"2";"0";"12";"0";TRUE
"PMC5485517";"28561745";"10.3390/genes8060153";"oa_package/f3/51/PMC5485517.tar.gz";NA;"2017";"research-article";NA;"2073-4425";"FoR_1";"0604";"0604 - Genetics";"2";"0";"0";"0";"0";"1";"0";"1";"3";"0";"13";"0";TRUE
"PMC4853445";"26847461";"10.1007/s10554-015-0832-6";"oa_package/8a/1b/PMC4853445.tar.gz";NA;"2016";"research-article";"1569-5794";"1875-8312";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC6806550";"31647032";"10.1186/s12885-019-6188-x";"oa_package/29/86/PMC6806550.tar.gz";NA;"2019";"research-article";NA;"1471-2407";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"8";"0";TRUE
"PMC6929489";"31921015";"10.3389/fmicb.2019.02817";"oa_package/05/28/PMC6929489.tar.gz";NA;"2019";"research-article";NA;"1664-302X";"FoR_1";"0605";"0605 - Microbiology";"1";"0";"0";"0";"0";"1";"0";"0";"3";"0";"9";"1";TRUE
"PMC5555694";"28806744";"10.1371/journal.pone.0182626";"oa_package/0d/55/PMC5555694.tar.gz";NA;"2017";"research-article";NA;"1932-6203";"FoR_1";"MD";"MD - Multidisciplinary";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"15";"0";TRUE
"PMC4842266";"27108409";"10.1186/s12944-016-0251-2";"oa_package/49/a5/PMC4842266.tar.gz";NA;"2016";"research-article";NA;"1476-511X";"FoR_1";"1101";"1101 - Medical Biochemistry and Metabolomics";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"7";"0";TRUE
"PMC5975128";"29353218";"10.1016/j.redox.2017.12.016";"oa_package/9f/05/PMC5975128.tar.gz";"oa_pdf/9f/05/main.PMC5975128.pdf";"2018";"research-article";NA;"2213-2317";"FoR_2";"1101";"1101 - Medical Biochemistry and Metabolomics";"0";"7";"0";"0";"0";"1";"0";"0";"0";"0";"5";"0";TRUE
"PMC3431221";"22731754";"10.1186/1465-9921-13-54";"oa_package/0a/d6/PMC3431221.tar.gz";NA;"2012";"research-article";"1465-9921";"1465-993X";"FoR_1";"1102";"1102 - Cardiorespiratory Medicine and Haematology";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"6";"0";TRUE
"PMC3582759";"22710759";"10.3892/ijo.2012.1517";"oa_package/2d/76/PMC3582759.tar.gz";NA;"2012";"research-article";"1019-6439";"1791-2423";"FoR_1";"1112";"1112 - Oncology and Carcinogenesis";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"4";"0";TRUE
"PMC3906997";"24119240";"10.1186/1472-6831-13-53";"oa_package/58/f3/PMC3906997.tar.gz";NA;"2013";"research-article";NA;"1472-6831";"FoR_1";"1105";"1105 - Dentistry";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"9";"0";TRUE
"PMC4183974";"25198238";"10.1038/nutd.2014.33";"oa_package/a6/9a/PMC4183974.tar.gz";NA;"2014";"research-article";NA;"2044-4052";"FoR_1";"1111";"1111 - Nutrition and Dietetics";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"5";"0";TRUE
"PMC6091558";"27381720";"10.4102/curationis.v39i1.1571";"oa_package/88/4b/PMC6091558.tar.gz";NA;"2016";"research-article";"0379-8577";"2223-6279";"FoR_1";"1110";"1110 - Nursing";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"7";"0";TRUE
